"ntree","mtry","nodesize","RMSE","MAE"
260,15,1,4.76883494419556,3.85083612040134
270,15,1,4.79285534899331,3.85233494363929
280,15,1,4.77754592836158,3.85046583850932
290,15,1,4.70841840179404,3.77556221889056
300,15,1,4.90709079767415,3.92840579710145
10,25,1,5.544797796917,4.24782608695652
20,25,1,5.11618276520264,3.96304347826087
30,25,1,4.72221085534295,3.64492753623188
40,25,1,4.61649629518732,3.48369565217391
50,25,1,5.0650018241123,3.99913043478261
60,25,1,5.0037920403039,3.9036231884058
70,25,1,4.96418941771744,3.85341614906832
80,25,1,4.98922344092528,3.84021739130435
90,25,1,4.82497361343773,3.7743961352657
100,25,1,4.7941295623783,3.70608695652174
110,25,1,4.79323469217075,3.84426877470356
120,25,1,4.81742979512082,3.81485507246377
130,25,1,4.79787278136243,3.69899665551839
140,25,1,4.96697612426197,3.85217391304348
150,25,1,4.82938769485805,3.74405797101449
160,25,1,4.85293554006008,3.82635869565217
170,25,1,4.97120473181629,3.86470588235294
180,25,1,4.83222140022187,3.84903381642512
190,25,1,4.78850632723392,3.75446224256293
200,25,1,4.89876703653694,3.7854347826087
210,25,1,4.87978524650989,3.77888198757764
220,25,1,4.75518742028998,3.73399209486166
230,25,1,4.84239398288631,3.75841209829868
240,25,1,4.78231988519165,3.78605072463768
250,25,1,4.92300049898875,3.85513043478261
260,25,1,4.97768037380684,3.93929765886287
270,25,1,4.74877602547064,3.74363929146538
280,25,1,4.7422493740838,3.73928571428571
290,25,1,4.8800274953608,3.8784107946027
300,25,1,4.86208604164185,3.85608695652174
10,35,1,4.92491447729762,3.85217391304348
20,35,1,4.69531450074109,3.36739130434783
30,35,1,4.92237816134488,3.66521739130435
40,35,1,5.03760316541249,3.90869565217391
50,35,1,4.8564488725996,3.79565217391305
60,35,1,4.85514444030576,3.87608695652174
70,35,1,4.88603209892186,3.71180124223603
80,35,1,4.85951624113204,3.83206521739131
90,35,1,4.98315089148423,3.92028985507246
100,35,1,4.95299777473418,3.76652173913044
110,35,1,4.72735481838118,3.80079051383399
120,35,1,4.94046653070971,3.86775362318841
130,35,1,5.03567514670821,4.01003344481606
140,35,1,4.88430339949456,3.8248447204969
150,35,1,4.85314560076475,3.78173913043478
160,35,1,4.88353645720029,3.80842391304348
170,35,1,4.89872520667561,3.79283887468031
180,35,1,4.92806138861109,3.87149758454106
190,35,1,4.81733453600596,3.74851258581236
200,35,1,4.81107757070122,3.78521739130435
210,35,1,4.84858977780975,3.74886128364389
220,35,1,4.95909498483655,3.83794466403162
230,35,1,4.87046077708729,3.7812854442344
240,35,1,4.95005878496788,3.94003623188406
250,35,1,4.98393900444217,3.92556521739131
260,35,1,4.94787676031822,3.80802675585284
270,35,1,4.77147207750041,3.65990338164251
280,35,1,5.01650995376644,3.86413043478261
290,35,1,4.78020380804694,3.72368815592204
300,35,1,4.9828876733494,3.90942028985507
10,45,1,5.48955529995867,4.37826086956522
20,45,1,4.80113211286853,3.67391304347826
30,45,1,4.72044581534967,3.68695652173913
40,45,1,5.07851934087606,3.73260869565217
50,45,1,4.96961200480087,3.93565217391304
60,45,1,5.00574549120362,3.91739130434783
70,45,1,4.49658847317295,3.67701863354037
80,45,1,4.89331634343791,3.81902173913043
90,45,1,4.90871747469508,3.71739130434783
100,45,1,4.83364566706979,3.61304347826087
110,45,1,4.77962084502592,3.68577075098814
120,45,1,4.81037306346003,3.74891304347826
130,45,1,4.80736855097179,3.75284280936455
140,45,1,5.04536650391513,3.98385093167702
150,45,1,4.92369760115636,3.93739130434783
160,45,1,4.9352937764966,3.82092391304348
170,45,1,4.84645447278963,3.74168797953964
180,45,1,4.88315347588302,3.78454106280193
190,45,1,4.92772464647702,3.86887871853547
200,45,1,4.76189277767643,3.67239130434783
210,45,1,4.88029172926304,3.79792960662526
220,45,1,4.88849544452106,3.73596837944664
230,45,1,4.86382940953183,3.748393194707
240,45,1,4.88697718888537,3.76177536231884
250,45,1,5.02085688165745,3.93617391304348
260,45,1,4.84669337921405,3.81755852842809
270,45,1,4.80252450958614,3.70273752012882
280,45,1,4.88006869115037,3.8166149068323
290,45,1,4.96138425365886,3.89685157421289
300,45,1,4.87889683222723,3.79173913043478
10,55,1,5.39851026149606,3.94347826086957
20,55,1,4.94918746075951,3.71521739130435
30,55,1,4.91003114013562,3.69275362318841
40,55,1,5.05773729267734,4.06739130434783
50,55,1,5.01421284298768,3.81043478260869
60,55,1,4.83017638029237,3.71159420289855
70,55,1,5.01402646602031,3.95155279503106
80,55,1,4.8125606997866,3.77663043478261
90,55,1,4.93601626571631,3.98115942028986
100,55,1,4.80260210266494,3.79608695652174
110,55,1,4.93701216450482,3.77272727272727
120,55,1,4.85223938539105,3.71304347826087
130,55,1,4.77744922484383,3.67993311036789
140,55,1,4.88035056634247,3.66708074534161
150,55,1,4.84099542604368,3.74463768115942
160,55,1,4.82543926813247,3.74891304347826
170,55,1,4.87016813736181,3.81790281329923
180,55,1,5.02351889442673,3.80700483091787
190,55,1,4.82408721059145,3.74004576659039
200,55,1,4.87313442564791,3.70782608695652
210,55,1,4.92111837826239,3.87639751552795
220,55,1,5.01135353086198,3.84841897233202
230,55,1,4.90212489339601,3.76162570888469
240,55,1,4.96003639610887,3.83840579710145
250,55,1,4.83117146654209,3.74730434782609
260,55,1,4.9786860482634,3.8623745819398
270,55,1,4.81309563014693,3.74830917874396
280,55,1,5.00779427984475,3.88167701863354
290,55,1,4.91062677121261,3.77781109445277
300,55,1,4.83951688410089,3.73884057971015
10,65,1,5.17430944773016,3.8304347826087
20,65,1,4.95200881505151,4.09130434782609
30,65,1,4.47807325717416,3.52463768115942
40,65,1,5.05211427974983,3.8304347826087
50,65,1,5.05871439244674,3.78173913043478
60,65,1,4.77719016721334,3.72028985507247
70,65,1,5.1076243094962,4.0583850931677
80,65,1,5.06184241569257,3.87989130434783
90,65,1,4.79962816147871,3.85458937198068
100,65,1,5.05149181581218,3.94130434782609
110,65,1,4.97856670962772,3.89130434782609
120,65,1,4.79982858741841,3.79601449275362
130,65,1,4.98203280675408,3.82909698996655
140,65,1,5.03832824980618,3.94347826086956
150,65,1,4.80461151264487,3.8031884057971
160,65,1,4.91680514420563,3.85706521739131
170,65,1,4.96221089172509,3.77109974424552
180,65,1,5.09118477100542,3.98719806763285
190,65,1,4.92845183403762,3.80686498855835
200,65,1,4.94420895330214,3.8804347826087
210,65,1,4.95399907869735,3.79565217391304
220,65,1,4.80189459480367,3.70573122529644
230,65,1,4.9039775329782,3.79073724007561
240,65,1,4.83979484383737,3.76449275362319
250,65,1,4.93412782478366,3.75982608695652
260,65,1,4.79647789053183,3.72642140468227
270,65,1,4.99055528322747,3.88985507246377
280,65,1,4.85697775568868,3.75714285714286
290,65,1,4.89544394842847,3.8359820089955
300,65,1,4.8512084255787,3.73246376811594
10,75,1,4.83222875934167,3.71304347826087
20,75,1,4.78461074696782,3.60217391304348
30,75,1,5.03938593759392,3.90579710144927
40,75,1,4.8820072270755,3.80760869565217
50,75,1,4.85897466371339,3.78260869565217
60,75,1,4.94036905269349,3.76376811594203
70,75,1,4.9092437662739,3.78012422360248
80,75,1,4.91500586049454,3.75217391304348
90,75,1,4.97064112718311,3.95314009661836
100,75,1,4.97626846402874,3.87434782608696
110,75,1,4.86368807921971,3.74426877470356
120,75,1,4.97800506430938,3.79384057971015
130,75,1,4.92977204657384,3.75150501672241
140,75,1,4.93290227398846,3.82950310559006
150,75,1,4.89084583143447,3.88492753623188
160,75,1,4.99015556005892,3.80353260869565
170,75,1,4.87347234129332,3.66649616368286
180,75,1,4.9844558432869,3.81956521739131
190,75,1,4.94914411388012,3.83089244851259
200,75,1,4.98309359124735,3.7904347826087
210,75,1,4.99821164902559,3.89233954451346
220,75,1,4.94370473359738,3.80928853754941
230,75,1,4.91626172261241,3.76030245746692
240,75,1,4.81246243476147,3.67934782608696
250,75,1,4.88145537813219,3.78921739130435
260,75,1,5.02197416024508,3.89147157190635
270,75,1,4.8465775071213,3.77713365539452
280,75,1,4.81191308547311,3.75527950310559
290,75,1,4.8235400692402,3.66086956521739
300,75,1,5.05486917886694,3.93536231884058
10,85,1,4.68883966363794,3.6695652173913
20,85,1,5.13691880241538,3.86304347826087
30,85,1,4.74368127905898,3.68695652173913
40,85,1,4.84157156483216,3.80869565217391
50,85,1,4.79774041018043,3.77478260869565
60,85,1,5.12475756466766,4.01159420289855
70,85,1,5.16446375645604,3.99689440993789
80,85,1,5.22133023301284,4.12989130434782
90,85,1,4.84960058894019,3.72753623188406
100,85,1,4.95675691661744,3.8204347826087
110,85,1,4.77575247620495,3.75256916996047
120,85,1,4.83800686093699,3.76521739130435
130,85,1,4.99731726331271,3.84715719063545
140,85,1,5.05553300165173,3.88664596273292
150,85,1,4.94490710531484,3.8031884057971
160,85,1,4.93046313361702,3.78369565217391
170,85,1,4.89487993276554,3.7846547314578
180,85,1,4.99633991104585,3.83405797101449
190,85,1,4.98968392609026,3.87139588100686
200,85,1,4.9013787989131,3.74195652173913
210,85,1,4.98077809670188,3.89958592132505
220,85,1,4.92819496787558,3.7798418972332
230,85,1,4.95124258707629,3.84177693761815
240,85,1,4.82529503991437,3.74275362318841
250,85,1,4.8866838048615,3.81460869565217
260,85,1,5.02942294792274,3.86220735785953
270,85,1,4.99648752392996,3.83301127214171
280,85,1,4.87720890506425,3.78711180124224
290,85,1,4.92479585641568,3.86296851574213
300,85,1,4.96039546693666,3.8331884057971
10,95,1,5.03863335508315,3.59130434782609
20,95,1,4.7348155466575,3.54347826086956
30,95,1,5.31216814820301,4.09275362318841
40,95,1,5.18501184435358,4.01521739130435
50,95,1,5.07523055805264,3.80434782608696
60,95,1,4.9466550451053,3.82753623188406
70,95,1,4.65414966876957,3.69130434782609
80,95,1,4.97448995091347,3.87336956521739
90,95,1,5.22229006020282,3.97971014492754
100,95,1,4.97660352134823,3.83565217391304
110,95,1,5.01469848170144,3.8395256916996
120,95,1,4.86594942103963,3.85144927536232
130,95,1,4.93239920048142,3.85217391304348
140,95,1,5.05173413257556,3.89813664596273
150,95,1,4.843247403409,3.71739130434783
160,95,1,4.96638205812668,3.88777173913044
170,95,1,4.93867157309284,3.9002557544757
180,95,1,4.86642139213832,3.79009661835749
190,95,1,4.8208943695107,3.73798627002288
200,95,1,4.97865007022377,3.77826086956522
210,95,1,4.84901920823884,3.75590062111801
220,95,1,4.90823050943418,3.78517786561265
230,95,1,4.97293761173196,3.87693761814745
240,95,1,4.94411133227621,3.79438405797102
250,95,1,4.75736236749443,3.72069565217391
260,95,1,4.99641156283927,3.84765886287625
270,95,1,4.88252764062916,3.73574879227053
280,95,1,4.91419577322722,3.81086956521739
290,95,1,4.90132187355134,3.74662668665667
300,95,1,4.95528971254615,3.85173913043478
10,105,1,5.47460540567319,4.21739130434783
20,105,1,5.29080416341903,3.96086956521739
