"ntree","mtry","nodesize","RMSE","MAE","rmse_van","mae_van","rmse_nyc","mae_nyc"
10,5,1,4.77739560555014,3.78947368421053,4.59999999999999,4.59999999999999,7.17112264572291,7.15
20,5,1,4.34479422321763,3.54473684210526,4.15000000000001,4.15000000000001,4.8250647664047,4.625
30,5,1,4.46520662180807,3.71520467836257,1.59999999999999,1.59999999999999,6.42114562294853,6.26666666666667
40,5,1,4.35856310822971,3.58552631578947,1.22499999999999,1.22499999999999,6.23159790904387,6.2125
50,5,1,4.32362907995733,3.46105263157895,0.0999999999999943,0.0999999999999943,5.79523942559753,5.78
60,5,1,4.37601895680667,3.49824561403509,1.95,1.95,4.75011695762442,4.75
70,5,1,4.6267346830595,3.74185463659148,1.21428571428571,1.21428571428571,5.3825587572743,5.37857142857143
80,5,1,4.54015949561401,3.64298245614035,1.2,1.2,6.21630919436928,6.2
90,5,1,4.40928048392988,3.56959064327485,0.411111111111111,0.411111111111111,5.28399049540738,5.28333333333333
100,5,1,4.3428642824107,3.58210526315789,1.48,1.48,4.72760510195173,4.715
110,5,1,4.38258148169217,3.58405103668262,2.2,2.2,5.79692138299815,5.78181818181818
120,5,1,4.48855513422554,3.58830409356725,0.0750000000000028,0.0750000000000028,6.3980248688343,6.38333333333333
130,5,1,4.46425169953377,3.60796221322537,2.51538461538462,2.51538461538462,4.97664664551538,4.97307692307692
140,5,1,4.43285315286102,3.55401002506266,0.192857142857136,0.192857142857136,5.79708758686601,5.79285714285714
150,5,1,4.3085575122374,3.4966081871345,2.23333333333333,2.23333333333333,6.10837312401774,6.07333333333334
160,5,1,4.35099035283217,3.53859649122807,0.96875,0.96875,5.95304707954255,5.940625
170,5,1,4.29201130182508,3.40330237358101,0.570588235294125,0.570588235294125,5.22062883165657,5.22058823529412
180,5,1,4.31782211625186,3.47836257309941,1.28888888888889,1.28888888888889,5.75379772598976,5.75277777777778
190,5,1,4.39203177816366,3.53702677746999,1.06315789473685,1.06315789473685,5.8726324279959,5.85789473684211
200,5,1,4.45772304398132,3.56859649122807,2.31999999999999,2.31999999999999,5.43861310445963,5.4275
210,5,1,4.41989587795298,3.5233918128655,0.890476190476193,0.890476190476193,5.41922022488522,5.36904761904762
220,5,1,4.41964114523901,3.53070175438597,2.22727272727273,2.22727272727273,5.74909443102647,5.74545454545455
230,5,1,4.41383752104555,3.57093821510297,1.86086956521739,1.86086956521739,5.58102713612287,5.56086956521739
240,5,1,4.50114812351522,3.64649122807017,1.53749999999999,1.53749999999999,5.75679097771589,5.725
250,5,1,4.43781118800145,3.59957894736842,1.852,1.852,5.57036874901474,5.552
260,5,1,4.39157499247873,3.52773279352227,0.82692307692308,0.82692307692308,5.80021041242491,5.77692307692308
270,5,1,4.38976769371504,3.51526965562053,1.16666666666667,1.16666666666667,5.49199442311117,5.44814814814815
280,5,1,4.37283346181665,3.51015037593985,0.775000000000006,0.775000000000006,5.56854893530604,5.56428571428572
290,5,1,4.33677214915859,3.49092558983666,1.57586206896552,1.57586206896552,5.75432836107215,5.73103448275862
300,5,1,4.38913244568115,3.5346783625731,1.42666666666666,1.42666666666666,5.56810161146109,5.55666666666666
10,15,1,4.48709650973982,3.6140350877193,1.5,1.5,6.06712452484701,6
20,15,1,4.24669634240093,3.34473684210526,2.7,2.7,5.42966389383358,5.425
30,15,1,4.35504009958644,3.48830409356725,0.733333333333334,0.733333333333334,6.25091104471091,6.18333333333333
40,15,1,4.33766526051524,3.44254385964912,0.299999999999997,0.299999999999997,6.43751213591089,6.4375
50,15,1,4.18046920895461,3.29052631578947,0.700000000000003,0.700000000000003,6.58218808603947,6.56
60,15,1,4.15693073064914,3.35175438596491,1.66666666666667,1.66666666666667,5.87869269291888,5.875
70,15,1,4.16509415367609,3.2593984962406,1.24285714285715,1.24285714285715,6.1117234284043,6.07857142857142
80,15,1,4.10935997012127,3.23004385964912,0.3125,0.3125,6.03795935105562,6.01875
90,15,1,4.21326381120623,3.29551656920078,0.533333333333331,0.533333333333331,6.27100913374837,6.26666666666667
100,15,1,4.1619974539898,3.30929824561403,0.0300000000000011,0.0300000000000011,5.79898698049927,5.795
110,15,1,4.21245090674399,3.3,0.118181818181824,0.118181818181824,6.26674945728091,6.25454545454545
120,15,1,4.17463740531881,3.34356725146199,0.191666666666663,0.191666666666663,5.79835045987698,5.79583333333333
130,15,1,4.1652249556007,3.33778677462888,0.192307692307693,0.192307692307693,5.83489046560106,5.78846153846154
140,15,1,4.24466536154587,3.39122807017544,2.20714285714286,2.20714285714286,5.2303324512903,5.22857142857143
150,15,1,4.09223798133814,3.23684210526316,0.213333333333338,0.213333333333338,5.56322248741181,5.54333333333334
160,15,1,4.21483631006164,3.34758771929825,1.16249999999999,1.16249999999999,5.89165524810303,5.88125
170,15,1,4.13663798412332,3.29876160990712,0.341176470588238,0.341176470588238,5.49294136545172,5.47941176470588
180,15,1,4.1484893299888,3.2995126705653,0.36666666666666,0.36666666666666,6.07287279223081,6.07222222222222
190,15,1,4.15631110484906,3.33490304709141,0.0105263157894768,0.0105263157894768,5.95344938307085,5.95
200,15,1,4.2276461660436,3.36929824561404,0.5,0.5,5.63969192421004,5.635
210,15,1,4.22750392005971,3.36934001670844,0.585714285714289,0.585714285714289,5.69776281831623,5.69761904761905
220,15,1,4.13428519209631,3.32408293460925,0.718181818181819,0.718181818181819,6.12762424807689,6.10227272727273
230,15,1,4.04188218460198,3.18062547673532,0.552173913043475,0.552173913043475,6.06978400627219,6.05434782608695
240,15,1,4.16351507271455,3.28179824561403,0.387500000000003,0.387500000000003,5.84672347107525,5.82291666666666
250,15,1,4.2182568945087,3.38505263157895,0.347999999999999,0.347999999999999,6.31771224415928,6.288
260,15,1,4.19175332788059,3.34932523616734,0.730769230769226,0.730769230769226,5.62459728998941,5.62307692307692
270,15,1,4.08961799349372,3.22846003898635,0.0333333333333314,0.0333333333333314,5.99872700258792,5.99814814814815
280,15,1,4.20147608773268,3.33778195488722,0.789285714285711,0.789285714285711,5.9663624485399,5.96607142857143
290,15,1,4.1452418025191,3.29140955837871,0.434482758620689,0.434482758620689,5.84590723422814,5.84310344827586
300,15,1,4.089678302261,3.25169590643275,0,0,5.77875659443948,5.775
10,25,1,4.0367174435794,3.23157894736842,0.200000000000003,0.200000000000003,6.4007812023221,6.4
20,25,1,4.13074161813463,3.15,0.200000000000003,0.200000000000003,7.12714879878342,7.125
30,25,1,4.3198034393229,3.47134502923977,1.03333333333333,1.03333333333333,5.82356324674927,5.78333333333333
40,25,1,4.15293306834765,3.3469298245614,1.325,1.325,5.95084027680125,5.95
50,25,1,4.16068314228881,3.29333333333333,1.12,1.12,5.74682521049666,5.73999999999999
60,25,1,3.97874959542316,3.16081871345029,1.58333333333333,1.58333333333333,5.58793342837941,5.55
70,25,1,4.23077018970993,3.47042606516291,2.64285714285714,2.64285714285714,6.41017208212455,6.37857142857143
80,25,1,4.16491125302977,3.26359649122807,0.237499999999997,0.237499999999997,6.3857752074435,6.35
90,25,1,4.07766065768674,3.23898635477583,0.655555555555551,0.655555555555551,5.42278002595316,5.42222222222222
100,25,1,4.21738444761055,3.34368421052631,0.430000000000007,0.430000000000007,6.12360188124603,6.12
110,25,1,4.22628909342847,3.3719298245614,1.03636363636363,1.03636363636363,5.70916690742699,5.69545454545455
120,25,1,4.12778215586964,3.27909356725146,0.224999999999994,0.224999999999994,5.84882763656292,5.82916666666667
130,25,1,4.10778227521808,3.2693657219973,0.538461538461533,0.538461538461533,5.6923908517834,5.69230769230769
140,25,1,4.17048743546095,3.30689223057644,0.599999999999994,0.599999999999994,5.92567269926171,5.925
150,25,1,4.15683415298693,3.27812865497076,0.700000000000003,0.700000000000003,6.32185978262023,6.32
160,25,1,4.0687667589328,3.22960526315789,0.131249999999994,0.131249999999994,6,6
170,25,1,4.13509387997711,3.27667698658411,0.223529411764702,0.223529411764702,6.09138736249797,6.03823529411765
180,25,1,4.02801148747243,3.20155945419103,0.677777777777777,0.677777777777777,5.63950461881884,5.63888888888889
190,25,1,4.14057298651473,3.30470914127424,0.357894736842098,0.357894736842098,5.97940254938948,5.97631578947368
200,25,1,4.11763265532642,3.27710526315789,0.489999999999995,0.489999999999995,6.12037274191696,6.11750000000001
210,25,1,4.10988017943475,3.22790309106099,0.971428571428575,0.971428571428575,5.94082401882733,5.94047619047619
220,25,1,4.13969645950757,3.28078149920255,1.25,1.25,6.26874791431456,6.26590909090909
230,25,1,4.13002009239492,3.32593440122044,0.956521739130437,0.956521739130437,6.04864105408266,6.04130434782608
240,25,1,4.14806850763757,3.31535087719298,0.329166666666666,0.329166666666666,6.01666810941811,6.01666666666667
250,25,1,4.12600737300665,3.31263157894737,0.492000000000004,0.492000000000004,5.94147995031541,5.928
