"ntree","mtry","nodesize","RMSE","MAE"
150,35,1,5.15567826357385,3.97420289855072
160,35,1,5.06197863659965,3.80923913043478
170,35,1,5.00491995040324,3.7772378516624
180,35,1,5.05704097729638,3.93768115942029
190,35,1,5.01154346155314,3.87139588100686
200,35,1,5.08621592063337,3.92978260869565
210,35,1,4.97362619299448,3.77225672877847
220,35,1,4.88223531829407,3.73794466403162
230,35,1,5.06596593445098,3.8937618147448
240,35,1,4.93413632137608,3.73134057971015
250,35,1,4.99809480223954,3.7495652173913
260,35,1,4.93809451745704,3.79632107023411
270,35,1,5.07621732654103,3.86505636070853
280,35,1,4.98141933569619,3.73913043478261
290,35,1,4.97860827445928,3.84542728635682
300,35,1,5.12041358346184,3.85985507246377
10,45,1,5.20229882297031,3.94347826086956
20,45,1,5.0733103848345,3.91304347826087
30,45,1,5.16228893545684,3.96086956521739
40,45,1,5.12047785643692,3.95434782608696
50,45,1,5.19791931616789,3.94260869565217
60,45,1,4.84610381876227,3.71956521739131
70,45,1,4.99572399233894,3.73975155279503
80,45,1,5.05634018702821,3.81304347826087
90,45,1,4.8964215136456,3.70531400966184
100,45,1,5.01702232838147,3.8895652173913
110,45,1,5.11419329422195,4.01383399209486
120,45,1,5.03029739759118,3.90615942028985
130,45,1,5.02512263269565,3.81571906354515
140,45,1,5.07833883158422,3.86024844720497
150,45,1,5.03629071386764,3.77971014492754
160,45,1,5.02163745515128,3.83396739130435
170,45,1,5.06164050517029,3.80613810741688
180,45,1,4.93606506493602,3.76980676328502
190,45,1,4.9272175923595,3.78215102974828
200,45,1,4.91234746416575,3.79978260869565
210,45,1,4.92163733417019,3.77805383022774
220,45,1,4.92843830561278,3.80632411067194
230,45,1,5.00479124430082,3.89659735349716
240,45,1,4.97004827249373,3.77427536231884
250,45,1,4.98862051159393,3.83686956521739
260,45,1,5.00681282702349,3.76588628762542
270,45,1,5.03416359738004,3.87890499194847
280,45,1,4.97198596236332,3.83167701863354
290,45,1,4.92125974703661,3.77541229385307
300,45,1,5.12748994539205,3.87347826086956
10,55,1,5.09688737069648,3.76521739130435
20,55,1,5.35961143951767,4.05652173913043
30,55,1,5.01777516762661,3.6463768115942
40,55,1,5.2522846995586,4.13152173913043
50,55,1,5.25606068391942,3.96782608695652
60,55,1,5.05489192437878,3.76086956521739
70,55,1,5.03370362043899,3.74037267080745
80,55,1,5.03053650760511,3.81793478260869
90,55,1,5.02225054500158,3.843961352657
100,55,1,5.18353538913691,4.04391304347826
110,55,1,5.03592590954624,3.86521739130435
120,55,1,5.05587081620416,3.89202898550725
130,55,1,4.939863469104,3.7809364548495
140,55,1,4.9773680340702,3.84347826086956
150,55,1,5.00854612632417,3.87246376811594
160,55,1,4.93788661117108,3.76141304347826
170,55,1,5.03911374834283,3.87519181585678
180,55,1,4.95922545053592,3.72584541062802
190,55,1,4.9877699395874,3.72906178489703
200,55,1,5.0061021459467,3.8495652173913
210,55,1,5.02353693097353,3.84989648033126
220,55,1,5.00343836142499,3.83142292490119
