"ntree","mtry","nodesize","RMSE","MAE"
10,25,1,2.80204007313039,2.17142857142857
20,25,1,2.83196045170126,2.05
30,25,1,2.76516023244786,1.99285714285714
40,25,1,2.95192884883282,2.24821428571429
50,25,1,3.26827171453048,2.40285714285714
60,25,1,2.88666886615995,2.06904761904762
70,25,1,2.80277871283473,1.95714285714286
80,25,1,2.89179681846525,2.16339285714286
90,25,1,3.03048153634891,2.1484126984127
100,25,1,2.86207217638849,2.05428571428571
110,25,1,2.76019415671483,1.96948051948052
120,25,1,2.92769005320219,2.16190476190476
130,25,1,2.78193894204406,2.09065934065934
140,25,1,2.87422698442859,2.16836734693878
150,25,1,2.91573563371481,2.18333333333333
160,25,1,2.91392180577629,2.10133928571428
170,25,1,2.91383128429507,2.07436974789916
180,25,1,2.92255942891163,2.1515873015873
190,25,1,2.90689245476496,2.18872180451128
200,25,1,2.89328440407388,2.13821428571429
210,25,1,2.93349290581072,2.18775510204082
220,25,1,2.82952576533076,2.00454545454545
230,25,1,2.90559862603928,2.18260869565217
240,25,1,2.94549023057499,2.14285714285714
250,25,1,2.84719651587311,2.05428571428571
260,25,1,2.81562968068104,2.07307692307692
270,25,1,2.89238274005222,2.11402116402116
280,25,1,2.84937240545287,2.04744897959184
290,25,1,2.93124499388925,2.11995073891626
300,25,1,2.79058991317106,2.02428571428572
10,35,1,2.63533679062089,2.02142857142857
20,35,1,3.16509986301493,2.49285714285714
30,35,1,3.03882287151529,2.26666666666667
40,35,1,2.98274053035603,2.2625
50,35,1,3.05428036883135,2.13142857142857
60,35,1,2.80664602412949,2.02142857142857
70,35,1,2.90570214513949,2.07244897959184
80,35,1,2.91455514554599,2.14375
90,35,1,2.83719002999692,2.07936507936508
100,35,1,2.81581503045109,2.05571428571429
110,35,1,2.93655662588025,2.18571428571429
120,35,1,2.91151160079903,2.17797619047619
130,35,1,2.91059509736318,2.04505494505495
140,35,1,3.01549629912377,2.22704081632653
150,35,1,2.8111518285526,2.01
160,35,1,2.85818354372893,2.08660714285714
170,35,1,2.95517676264342,2.23781512605042
180,35,1,2.84440491664004,2.06031746031746
190,35,1,2.95799005813283,2.12218045112782
200,35,1,2.91933333877054,2.12714285714286
210,35,1,2.83470697851348,2.13299319727891
220,35,1,2.87234195180093,2.12337662337662
230,35,1,2.99619346226175,2.20186335403727
240,35,1,2.97718944544139,2.1639880952381
250,35,1,2.92882697142925,2.17771428571429
260,35,1,2.88951415537279,2.11923076923077
270,35,1,2.85343493475946,2.10687830687831
280,35,1,2.94942951690978,2.16224489795918
290,35,1,2.864348608422,2.07290640394089
300,35,1,2.95082555034543,2.14666666666667
10,45,1,2.59876344221082,1.96428571428571
20,45,1,2.77913141621108,2.25
30,45,1,2.96307969346781,2.14761904761905
40,45,1,2.94271952694879,2.15892857142857
50,45,1,2.88736162315307,2.2
60,45,1,2.94453017245671,2.225
70,45,1,2.98651244091947,2.26836734693878
80,45,1,2.76859782716295,2.00178571428571
90,45,1,2.91401920661274,2.0531746031746
100,45,1,2.94802597391155,2.14285714285714
110,45,1,2.85850395560802,2.10454545454546
120,45,1,2.83716302802977,2.08214285714286
130,45,1,2.8978370982242,2.13571428571429
140,45,1,2.89648487577072,2.09030612244898
150,45,1,2.85006544062992,2.04333333333333
160,45,1,2.91986824708875,2.125
170,45,1,3.02185154373076,2.26134453781513
180,45,1,2.8577719765919,2.0484126984127
190,45,1,2.86114584045971,2.07781954887218
200,45,1,2.82805271217796,2.05785714285714
210,45,1,2.99145229747569,2.19761904761905
220,45,1,2.85689295689885,2.09188311688312
230,45,1,2.84916804947148,2.11366459627329
240,45,1,2.93276129094793,2.08869047619048
250,45,1,2.8906829642837,2.084
260,45,1,2.8767543069143,2.11565934065934
270,45,1,2.77310029461146,2.05476190476191
280,45,1,2.8934436606233,2.0640306122449
290,45,1,2.9318351557803,2.13522167487685
300,45,1,2.84584799201412,2.11809523809524
10,55,1,3.09284889474321,1.95714285714286
20,55,1,2.8713797081841,1.975
30,55,1,2.95989060286903,2.27619047619048
40,55,1,2.80379207502982,2.10714285714286
50,55,1,3.01973981849903,2.25857142857143
