"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,6,0.01,0,3,0.6,0.6,3.82023219062258,2.72669928414481
150,6,0.01,0,3,0.6,0.6,3.42094572453853,2.27194486345564
200,6,0.01,0,3,0.6,0.6,3.26791194632097,2.14044080461775
250,6,0.01,0,3,0.6,0.6,3.12833407635027,2.04777635846819
50,9,0.01,0,3,0.6,0.6,3.81797524064656,2.73289435250419
150,9,0.01,0,3,0.6,0.6,3.36870519843879,2.24077115740095
200,9,0.01,0,3,0.6,0.6,3.25191205785386,2.15211268833705
250,9,0.01,0,3,0.6,0.6,3.13017807431038,2.05054528372628
50,3,0.05,0,3,0.6,0.6,3.20950614111456,2.07942472185407
150,3,0.05,0,3,0.6,0.6,2.63864685590029,1.99575315202985
200,3,0.05,0,3,0.6,0.6,2.80358660526356,2.20255334036691
250,3,0.05,0,3,0.6,0.6,2.60766272932765,2.14309256417411
50,6,0.05,0,3,0.6,0.6,3.18194431768003,2.09629549298968
150,6,0.05,0,3,0.6,0.6,2.53635331744183,1.98774174281529
200,6,0.05,0,3,0.6,0.6,2.72719312680056,2.28747885567801
250,6,0.05,0,3,0.6,0.6,2.62312905875846,2.05863952636719
50,9,0.05,0,3,0.6,0.6,3.14304045268136,2.07058879307338
150,9,0.05,0,3,0.6,0.6,2.4114749308193,1.83564049857003
200,9,0.05,0,3,0.6,0.6,2.7004762195965,2.09123502458845
250,9,0.05,0,3,0.6,0.6,2.75095888427579,2.19789505004883
50,3,0.1,0,3,0.6,0.6,2.85223292899406,1.92854690551758
150,3,0.1,0,3,0.6,0.6,2.85798070284751,2.38634981427874
200,3,0.1,0,3,0.6,0.6,2.87887138979538,2.4396117074149
250,3,0.1,0,3,0.6,0.6,2.85189539179637,2.3158574785505
50,6,0.1,0,3,0.6,0.6,2.93857200969798,2.12058912004743
150,6,0.1,0,3,0.6,0.6,2.69344203377777,2.08029174804688
200,6,0.1,0,3,0.6,0.6,3.62066745268342,3.06237411499023
250,6,0.1,0,3,0.6,0.6,3.73873916673259,3.22751671927316
50,9,0.1,0,3,0.6,0.6,2.78694112213513,2.04160308837891
150,9,0.1,0,3,0.6,0.6,2.93492968957415,2.23027965000698
200,9,0.1,0,3,0.6,0.6,3.10936172027782,2.66714859008789
250,9,0.1,0,3,0.6,0.6,3.22047812814007,2.74533026559012
50,3,0.01,0,5,0.6,0.6,3.81782854040952,2.72690691266741
150,3,0.01,0,5,0.6,0.6,3.40416426763111,2.27430398123605
200,3,0.01,0,5,0.6,0.6,3.29871413414217,2.13436344691685
250,3,0.01,0,5,0.6,0.6,3.1569843884464,2.04855673653739
50,6,0.01,0,5,0.6,0.6,3.84779405185615,2.73983601161412
150,6,0.01,0,5,0.6,0.6,3.40418878543235,2.23456736973354
200,6,0.01,0,5,0.6,0.6,3.29161946493043,2.13538142613002
250,6,0.01,0,5,0.6,0.6,3.13808933648394,2.03906740461077
50,9,0.01,0,5,0.6,0.6,3.81754822404208,2.72012438092913
150,9,0.01,0,5,0.6,0.6,3.38628201165632,2.24176243373326
200,9,0.01,0,5,0.6,0.6,3.30143432777627,2.14880643572126
250,9,0.01,0,5,0.6,0.6,3.16916054829706,2.0622444152832
50,3,0.05,0,5,0.6,0.6,3.16727739652032,2.01572418212891
150,3,0.05,0,5,0.6,0.6,2.61100359233036,1.966185433524
200,3,0.05,0,5,0.6,0.6,2.66614969703024,2.10457120622907
250,3,0.05,0,5,0.6,0.6,2.63451421190233,2.16895512172154
50,6,0.05,0,5,0.6,0.6,3.19124840441054,2.04617527553013
150,6,0.05,0,5,0.6,0.6,2.81348078703329,2.10270254952567
200,6,0.05,0,5,0.6,0.6,2.51494718979289,1.97637612479074
250,6,0.05,0,5,0.6,0.6,2.82780296153282,2.21776526314872
50,9,0.05,0,5,0.6,0.6,3.18614950703411,2.07867322649275
150,9,0.05,0,5,0.6,0.6,2.78381900544928,2.00766590663365
200,9,0.05,0,5,0.6,0.6,2.68708262773545,2.11052049909319
250,9,0.05,0,5,0.6,0.6,2.59191006683313,2.03105545043945
50,3,0.1,0,5,0.6,0.6,2.72745489121674,1.85687746320452
150,3,0.1,0,5,0.6,0.6,2.43442911321886,2.08554240635463
200,3,0.1,0,5,0.6,0.6,2.76162109167,2.47409984043666
250,3,0.1,0,5,0.6,0.6,2.67442550543901,2.27620424543108
50,6,0.1,0,5,0.6,0.6,2.65638681999648,1.8578360421317
150,6,0.1,0,5,0.6,0.6,2.90051074673267,2.38818304879325
200,6,0.1,0,5,0.6,0.6,2.93610416183824,2.30645533970424
250,6,0.1,0,5,0.6,0.6,3.12071263100311,2.38145065307617
50,9,0.1,0,5,0.6,0.6,2.63539414124248,1.83378437587193
150,9,0.1,0,5,0.6,0.6,2.86919551232768,2.36966160365513
200,9,0.1,0,5,0.6,0.6,2.98749275573737,2.47403063092913
250,9,0.1,0,5,0.6,0.6,2.64794712252034,2.17983572823661
50,3,0.01,0,1,0.8,0.6,3.81391830149141,2.728759765625
150,3,0.01,0,1,0.8,0.6,3.37419717948118,2.27191652570452
200,3,0.01,0,1,0.8,0.6,3.25217944227436,2.16960253034319
250,3,0.01,0,1,0.8,0.6,3.1136712214083,2.09626770019531
50,6,0.01,0,1,0.8,0.6,3.82020061386287,2.74976076398577
150,6,0.01,0,1,0.8,0.6,3.36332088771622,2.25880813598633
200,6,0.01,0,1,0.8,0.6,3.25331568768233,2.16345160348075
