"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE","rmse_nyc","rmse_van","mae_nyc","mae_van"
50,3,0.05,0,5,0.6,0.6,6.93444989290506,5.430285403603,2.90937861769318,0.742317199707031,2.53832244873047,0.742317199707031
150,3,0.05,0,5,0.6,0.6,5.32748121754974,4.18364126640454,4.40702012954496,2.45906829833984,4.226318359375,2.45906829833984
200,3,0.05,0,5,0.6,0.6,4.88209151956962,3.81915483976665,4.53628301210773,3.15519714355469,4.43382263183594,3.15519714355469
250,3,0.05,0,5,0.6,0.6,4.49003571212913,3.50530644467002,4.67170681574579,2.51237487792969,4.56430053710938,2.51237487792969
50,6,0.05,0,5,0.6,0.6,6.92307251322452,5.37164520799068,2.93137983754521,1.02151489257812,2.59550094604492,1.02151489257812
150,6,0.05,0,5,0.6,0.6,5.28297540797444,4.08644478781182,3.79315680687008,1.88099670410156,3.71696472167969,1.88099670410156
200,6,0.05,0,5,0.6,0.6,4.80723747938275,3.71080913878324,4.53423098995966,1.67018127441406,4.53379821777344,1.67018127441406
250,6,0.05,0,5,0.6,0.6,4.48214343966505,3.49910602234957,4.5836216429063,2.25422668457031,4.57759857177734,2.25422668457031
50,9,0.05,0,5,0.6,0.6,6.88615862330001,5.36970948336417,3.35089456712007,1.31800079345703,2.91250991821289,1.31800079345703
150,9,0.05,0,5,0.6,0.6,5.16632574680848,3.94463509007504,4.26562279960828,1.32080078125,4.16362762451172,1.32080078125
200,9,0.05,0,5,0.6,0.6,4.77862844275862,3.69127012553968,4.0358466146387,1.98950958251953,4.03281402587891,1.98950958251953
250,9,0.05,0,5,0.6,0.6,4.42924678175637,3.41453204238624,4.59562304044003,1.83839416503906,4.57382202148438,1.83839416503906
50,3,0.1,0,5,0.6,0.6,6.00289490666677,4.71989253529331,3.79025711671019,1.34307861328125,3.62178039550781,1.34307861328125
150,3,0.1,0,5,0.6,0.6,4.20978174067165,3.29553383275082,4.62048763135899,2.26358795166016,4.53517913818359,2.26358795166016
200,3,0.1,0,5,0.6,0.6,4.14304689899023,3.26781865170127,4.44738924926371,3.11376953125,4.44733428955078,3.11376953125
250,3,0.1,0,5,0.6,0.6,3.96832867361473,3.05679455138089,4.24786751185206,0.744979858398438,4.16155624389648,0.744979858398438
50,6,0.1,0,5,0.6,0.6,5.96687410176731,4.61720757735403,3.48373403332403,1.63965606689453,3.37809753417969,1.63965606689453
150,6,0.1,0,5,0.6,0.6,4.25144823603904,3.36383846349884,4.89862567060808,0.983161926269531,4.86100769042969,0.983161926269531
200,6,0.1,0,5,0.6,0.6,4.06549479701101,3.11655399255585,4.71788672349018,0.40155029296875,4.69065093994141,0.40155029296875
250,6,0.1,0,5,0.6,0.6,3.91716407083737,3.08034408301638,4.69619277186697,0.00753021240234375,4.59592056274414,0.00753021240234375
50,9,0.1,0,5,0.6,0.6,5.99544632520073,4.62211113645319,4.09014452004988,1.61016845703125,3.87084579467773,1.61016845703125
150,9,0.1,0,5,0.6,0.6,4.29437193081137,3.42028848748458,5.75721228576282,0.911262512207031,5.70511245727539,0.911262512207031
200,9,0.1,0,5,0.6,0.6,3.91927145861817,3.16053035803009,4.98141423050295,0.878562927246094,4.95499420166016,0.878562927246094
250,9,0.1,0,5,0.6,0.6,4.06844390512712,3.1611562360797,4.46504049113949,0.7095947265625,4.46104431152344,0.7095947265625
50,3,0.01,0,1,0.8,0.6,7.84542490042042,6.21593314722965,2.91622223368844,1.07221984863281,2.32691955566406,1.07221984863281
150,3,0.01,0,1,0.8,0.6,7.37845797157533,5.8050571910122,2.95117255680941,0.928947448730469,2.1734504699707,0.928947448730469
200,3,0.01,0,1,0.8,0.6,7.14455139111621,5.60181306537829,3.07291602125111,0.891616821289062,2.44746017456055,0.891616821289062
250,3,0.01,0,1,0.8,0.6,6.93975802311693,5.41680921588028,3.19071030457719,0.772216796875,2.68252944946289,0.772216796875
50,6,0.01,0,1,0.8,0.6,7.83168131089318,6.19781306751987,2.94181329837116,1.02688598632812,2.33206558227539,1.02688598632812
150,6,0.01,0,1,0.8,0.6,7.3209544195845,5.73769070809348,2.96240249711382,1.13880920410156,2.24360275268555,1.13880920410156
200,6,0.01,0,1,0.8,0.6,7.06629050239027,5.50381523266173,3.16753052575382,1.10642242431641,2.5238037109375,1.10642242431641
250,6,0.01,0,1,0.8,0.6,6.81985514162065,5.30115562572814,3.22356057213408,0.900444030761719,2.75489807128906,0.900444030761719
50,9,0.01,0,1,0.8,0.6,7.83782213117692,6.20135979903372,2.92767174915842,1.08157348632812,2.33723068237305,1.08157348632812
150,9,0.01,0,1,0.8,0.6,7.30030100848597,5.71171435975192,3.11907456754158,1.13356018066406,2.35390090942383,1.13356018066406
200,9,0.01,0,1,0.8,0.6,7.04265925881584,5.49544257448431,3.2348296612306,1.00760650634766,2.58365631103516,1.00760650634766
250,9,0.01,0,1,0.8,0.6,6.80428579200953,5.28725165651556,3.36066294867225,1.18260192871094,2.88745498657227,1.18260192871094
50,3,0.05,0,1,0.8,0.6,6.95653210821631,5.42166766785739,3.27185168544431,0.803131103515625,2.65694046020508,0.803131103515625
150,3,0.05,0,1,0.8,0.6,5.40340721422627,4.25130984657689,4.32374870586157,0.708175659179688,4.17286682128906,0.708175659179688
200,3,0.05,0,1,0.8,0.6,4.90488832395294,3.87005387691029,4.41384444291887,0.917182922363281,4.27676010131836,0.917182922363281
250,3,0.05,0,1,0.8,0.6,4.48724899268239,3.48278995982388,4.5765595625101,0.86883544921875,4.54036712646484,0.86883544921875
50,6,0.05,0,1,0.8,0.6,6.84814265396405,5.34509116724918,3.92992553056467,1.52272033691406,3.3265266418457,1.52272033691406
150,6,0.05,0,1,0.8,0.6,5.09519928025306,3.91085601271245,4.26771624629947,0.783653259277344,4.25077056884766,0.783653259277344
200,6,0.05,0,1,0.8,0.6,4.57604154643496,3.53970216449938,4.70706874269637,0.560737609863281,4.68521499633789,0.560737609863281
250,6,0.05,0,1,0.8,0.6,4.28608786915748,3.34971872965495,5.49447203409066,0.73199462890625,5.49084854125977,0.73199462890625
50,9,0.05,0,1,0.8,0.6,6.7749197761723,5.23485806113795,3.56697397496888,1.14527893066406,3.02517700195312,1.14527893066406
150,9,0.05,0,1,0.8,0.6,5.07789024275329,3.83122199878358,3.93252686978481,0.980430603027344,3.9177131652832,0.980430603027344
200,9,0.05,0,1,0.8,0.6,4.51147536131699,3.42135713811506,4.80421099085586,0.123176574707031,4.80419921875,0.123176574707031
250,9,0.05,0,1,0.8,0.6,4.29148107988056,3.28080803051329,5.95985152172983,0.04473876953125,5.95978546142578,0.04473876953125
50,3,0.1,0,1,0.8,0.6,5.99297170643395,4.68234293084396,3.84115622328441,0.366561889648438,3.58134460449219,0.366561889648438
150,3,0.1,0,1,0.8,0.6,4.30689935757229,3.41034966184382,4.55557774830802,1.44182586669922,4.40745162963867,1.44182586669922
200,3,0.1,0,1,0.8,0.6,4.11040383979014,3.31464252137301,4.62110287199567,1.18878173828125,4.52178955078125,1.18878173828125
250,3,0.1,0,1,0.8,0.6,3.97017077129176,3.11670417116399,5.2130293432896,0.877799987792969,5.09477996826172,0.877799987792969
50,6,0.1,0,1,0.8,0.6,5.7318774992315,4.39335779558148,4.48029433872808,0.242164611816406,4.22319412231445,0.242164611816406
150,6,0.1,0,1,0.8,0.6,4.25501280152562,3.42280458149157,5.68524021039951,0.579658508300781,5.64520263671875,0.579658508300781
200,6,0.1,0,1,0.8,0.6,4.00072307355758,3.27895810311301,5.8475706421177,2.15695190429688,5.80070495605469,2.15695190429688
250,6,0.1,0,1,0.8,0.6,3.77539860268075,3.04053042227762,5.70990021580412,2.82550048828125,5.69763946533203,2.82550048828125
50,9,0.1,0,1,0.8,0.6,5.73406496760051,4.41464005855092,3.10796250556195,0.197700500488281,3.069580078125,0.197700500488281
150,9,0.1,0,1,0.8,0.6,4.07067518598169,3.19042165655839,5.8314180460206,1.12236022949219,5.82049179077148,1.12236022949219
200,9,0.1,0,1,0.8,0.6,4.19768183447964,3.42646093535842,5.97748648038956,0.0094451904296875,5.97709274291992,0.0094451904296875
250,9,0.1,0,1,0.8,0.6,3.88078734829732,3.04020985385828,5.94028679167786,0.918792724609375,5.76233291625977,0.918792724609375
50,3,0.01,0,3,0.8,0.6,7.85275605644396,6.21877021120306,2.88939212004598,0.916007995605469,2.30019378662109,0.916007995605469
150,3,0.01,0,3,0.8,0.6,7.37041839143782,5.79373664186712,2.94096062989852,0.786521911621094,2.27127075195312,0.786521911621094
200,3,0.01,0,3,0.8,0.6,7.14659864991182,5.60166194982696,3.06997759778246,0.656257629394531,2.5282096862793,0.656257629394531
250,3,0.01,0,3,0.8,0.6,6.93971114399991,5.41949770743387,3.18000005110759,0.67657470703125,2.7571907043457,0.67657470703125
50,6,0.01,0,3,0.8,0.6,7.83380048391225,6.19550818727727,2.87732860662838,0.967658996582031,2.27358627319336,0.967658996582031
150,6,0.01,0,3,0.8,0.6,7.3398606822359,5.74906412760417,3.00345304155198,0.769073486328125,2.28250885009766,0.769073486328125
200,6,0.01,0,3,0.8,0.6,7.08359087701847,5.52368418375651,3.30748497908514,0.804832458496094,2.71091079711914,0.804832458496094
250,6,0.01,0,3,0.8,0.6,6.84957376457802,5.3126723975466,3.4506746867365,0.594261169433594,2.95461273193359,0.594261169433594
50,9,0.01,0,3,0.8,0.6,7.834442513852,6.19574416311164,2.9379768078585,0.954551696777344,2.32512283325195,0.954551696777344
150,9,0.01,0,3,0.8,0.6,7.32070230474229,5.72313221713953,2.97069114934564,0.970344543457031,2.27805709838867,0.970344543457031
200,9,0.01,0,3,0.8,0.6,7.08473328321366,5.5234803316886,3.03147227923104,0.78363037109375,2.51492309570312,0.78363037109375
250,9,0.01,0,3,0.8,0.6,6.84465538016506,5.31641829641242,3.42161192577855,0.76806640625,2.9654426574707,0.76806640625
50,3,0.05,0,3,0.8,0.6,6.94959877790532,5.43720044587788,3.30594180153922,0.416046142578125,2.88516235351562,0.416046142578125
150,3,0.05,0,3,0.8,0.6,5.29237210432634,4.15038834956654,4.01777824147358,1.70537567138672,3.9378662109375,1.70537567138672
200,3,0.05,0,3,0.8,0.6,4.84785345764853,3.79249104282312,4.83882101939245,0.882003784179688,4.77870941162109,0.882003784179688
250,3,0.05,0,3,0.8,0.6,4.48146233207447,3.5106953403406,4.61150289849316,0.483757019042969,4.52861022949219,0.483757019042969
50,6,0.05,0,3,0.8,0.6,6.84932727853001,5.326724939179,3.13247185997092,0.632240295410156,2.71029663085938,0.632240295410156
150,6,0.05,0,3,0.8,0.6,5.10982815358908,3.86480605811404,4.69566900190771,0.587684631347656,4.54397201538086,0.587684631347656
200,6,0.05,0,3,0.8,0.6,4.71430352148091,3.646838137978,4.39503191966494,0.08148193359375,4.3930549621582,0.08148193359375
250,6,0.05,0,3,0.8,0.6,4.32605769735074,3.29916582609478,5.15444843743415,0.0326614379882812,5.13710784912109,0.0326614379882812
50,9,0.05,0,3,0.8,0.6,6.82461206999019,5.29317380670916,3.11752556924495,0.95623779296875,2.70476150512695,0.95623779296875
150,9,0.05,0,3,0.8,0.6,5.15088252560107,3.90686704401384,4.21705635029213,0.0684051513671875,4.16399002075195,0.0684051513671875
200,9,0.05,0,3,0.8,0.6,4.65042578960501,3.54100572017201,4.28252240245668,0.251487731933594,4.28107452392578,0.251487731933594
250,9,0.05,0,3,0.8,0.6,4.30125242988923,3.31500739382024,5.02422269150527,0.15576171875,5.02120971679688,0.15576171875
50,3,0.1,0,3,0.8,0.6,6.02500715914413,4.6747184887267,3.80317999403022,0.199295043945312,3.68421173095703,0.199295043945312
150,3,0.1,0,3,0.8,0.6,4.29046781335564,3.35439447771039,5.08665761936131,0.839591979980469,5.00255966186523,0.839591979980469
200,3,0.1,0,3,0.8,0.6,3.99975971360463,3.14005788167318,4.73894308978352,0.34765625,4.69538116455078,0.34765625
250,3,0.1,0,3,0.8,0.6,3.96452684475043,3.02285485518606,4.926149849087,1.45301055908203,4.81978607177734,1.45301055908203
50,6,0.1,0,3,0.8,0.6,5.79147913219848,4.41900956003289,4.57309483542481,1.01444244384766,4.30175018310547,1.01444244384766
150,6,0.1,0,3,0.8,0.6,4.19506149993722,3.34981242397375,5.08702922871255,0.404434204101562,4.96515274047852,0.404434204101562
200,6,0.1,0,3,0.8,0.6,4.19621139043558,3.40835946066338,5.34546542214372,1.72745513916016,5.32159805297852,1.72745513916016
250,6,0.1,0,3,0.8,0.6,3.95898389567368,3.1783482066372,4.9399005189117,0.857078552246094,4.8582649230957,0.857078552246094
50,9,0.1,0,3,0.8,0.6,5.82116895606875,4.44915369937294,3.95124132653268,0.847976684570312,3.87531661987305,0.847976684570312
150,9,0.1,0,3,0.8,0.6,4.37965165549862,3.42425992196066,4.34652193489211,0.655899047851562,4.34577178955078,0.655899047851562
200,9,0.1,0,3,0.8,0.6,3.99010220551186,3.259033203125,5.43655827290654,0.765419006347656,5.37617874145508,0.765419006347656
250,9,0.1,0,3,0.8,0.6,4.02211811127802,3.17167195102625,5.60397972569912,0.319732666015625,5.59366607666016,0.319732666015625
50,3,0.01,0,5,0.8,0.6,7.84982110107078,6.2177520216557,2.91852739528548,0.99310302734375,2.30996704101562,0.99310302734375
150,3,0.01,0,5,0.8,0.6,7.37818828426781,5.80551535623115,3.01192803134467,0.938453674316406,2.29854583740234,0.938453674316406
200,3,0.01,0,5,0.8,0.6,7.14632747655557,5.60168229487904,3.10641349605786,0.771377563476562,2.56047058105469,0.771377563476562
250,3,0.01,0,5,0.8,0.6,6.92178623145884,5.41053156267133,3.28235491768834,0.665077209472656,2.82350921630859,0.665077209472656
50,6,0.01,0,5,0.8,0.6,7.83488145597253,6.20502712852076,2.87585320489994,0.969024658203125,2.27212142944336,0.969024658203125
150,6,0.01,0,5,0.8,0.6,7.33405576001902,5.74183681554962,2.93937759844965,0.991462707519531,2.279296875,0.991462707519531
200,6,0.01,0,5,0.8,0.6,7.08548964443853,5.52463437799822,3.19717534544994,0.760078430175781,2.62883377075195,0.760078430175781
250,6,0.01,0,5,0.8,0.6,6.85616459101186,5.32760513037966,3.28271971248748,0.751640319824219,2.81967926025391,0.751640319824219
50,9,0.01,0,5,0.8,0.6,7.83520638092323,6.19885079902515,2.91927097405747,1.02031707763672,2.3033561706543,1.02031707763672
150,9,0.01,0,5,0.8,0.6,7.33038040479477,5.75398776405736,3.12683301487574,1.04236602783203,2.37586212158203,1.04236602783203
200,9,0.01,0,5,0.8,0.6,7.10258039077594,5.54850621809039,3.22151696251597,0.971549987792969,2.63724136352539,0.971549987792969
250,9,0.01,0,5,0.8,0.6,6.8633732451703,5.34568411843818,3.19015157348344,0.978202819824219,2.80070114135742,0.978202819824219
50,3,0.05,0,5,0.8,0.6,6.93862637195141,5.43435762639631,3.05037860688031,0.684440612792969,2.68171310424805,0.684440612792969
150,3,0.05,0,5,0.8,0.6,5.34637966945871,4.2373370789645,4.63312496121272,1.77516174316406,4.5544319152832,1.77516174316406
