"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
200,3,0.01,0,1,0.8,0.6,10.052643077264,8.03211709727412
250,3,0.01,0,1,0.8,0.6,9.73476452601231,7.75453948974609
50,6,0.01,0,1,0.8,0.6,11.0518637352623,9.01673358419667
150,6,0.01,0,1,0.8,0.6,10.3636147030154,8.35408617102581
200,6,0.01,0,1,0.8,0.6,10.064092372015,8.07017152205757
250,6,0.01,0,1,0.8,0.6,9.73744312818439,7.77435136877972
50,9,0.01,0,1,0.8,0.6,11.0445799991712,9.01163449494735
150,9,0.01,0,1,0.8,0.6,10.3922662225589,8.36457094938859
200,9,0.01,0,1,0.8,0.6,10.0561394684307,8.03454954727836
250,9,0.01,0,1,0.8,0.6,9.73641510731325,7.78433128025221
50,3,0.05,0,1,0.8,0.6,9.72329523669685,7.73636594025985
150,3,0.05,0,1,0.8,0.6,7.40651225600903,5.80185865319293
200,3,0.05,0,1,0.8,0.6,6.50219402590309,5.10970240053923
250,3,0.05,0,1,0.8,0.6,5.55128765540395,4.29815209430197
50,6,0.05,0,1,0.8,0.6,9.78454217079008,7.85715318762738
150,6,0.05,0,1,0.8,0.6,7.3692180023193,5.87172533118207
200,6,0.05,0,1,0.8,0.6,6.15600345689866,4.99079098908798
250,6,0.05,0,1,0.8,0.6,5.40217006423994,4.41126450248387
50,9,0.05,0,1,0.8,0.6,9.77740912883348,7.8074370674465
150,9,0.05,0,1,0.8,0.6,7.19803249155726,5.72454668127972
200,9,0.05,0,1,0.8,0.6,6.13213139296066,4.93843078613281
250,9,0.05,0,1,0.8,0.6,5.40288368731207,4.35172802469005
50,3,0.1,0,1,0.8,0.6,8.44490802920962,6.74528171705163
150,3,0.1,0,1,0.8,0.6,5.11314764570883,4.04685841435971
200,3,0.1,0,1,0.8,0.6,3.89967139753122,3.0742535798446
250,3,0.1,0,1,0.8,0.6,3.46408609444918,2.95415297798488
50,6,0.1,0,1,0.8,0.6,8.41707234715382,6.84520688264266
150,6,0.1,0,1,0.8,0.6,4.84757271939682,3.87107252038043
200,6,0.1,0,1,0.8,0.6,4.01802080284838,3.23570450492527
250,6,0.1,0,1,0.8,0.6,3.65734015786212,3.2136986773947
50,9,0.1,0,1,0.8,0.6,8.61291450943568,6.98336261251698
150,9,0.1,0,1,0.8,0.6,4.69434806458252,3.90242900019107
200,9,0.1,0,1,0.8,0.6,3.6386498138104,3.09571672522503
250,9,0.1,0,1,0.8,0.6,3.68984370249365,3.15895080566406
50,3,0.01,0,3,0.8,0.6,11.0357899281966,8.99419568932575
150,3,0.01,0,3,0.8,0.6,10.3435471555463,8.29333595607592
200,3,0.01,0,3,0.8,0.6,10.0055837632003,7.97979205587636
250,3,0.01,0,3,0.8,0.6,9.67846835612831,7.66615129553753
50,6,0.01,0,3,0.8,0.6,11.0307915959561,8.99865523628567
150,6,0.01,0,3,0.8,0.6,10.3331784984503,8.28890261442765
200,6,0.01,0,3,0.8,0.6,10.0076380576802,7.98253631591797
250,6,0.01,0,3,0.8,0.6,9.6714229268099,7.66950524371603
50,9,0.01,0,3,0.8,0.6,11.0355994985394,9.00505065917969
150,9,0.01,0,3,0.8,0.6,10.3375457195952,8.29460343070652
200,9,0.01,0,3,0.8,0.6,10.0059292016297,7.97628286610479
250,9,0.01,0,3,0.8,0.6,9.6607809454795,7.66678022301715
50,3,0.05,0,3,0.8,0.6,9.6597740135784,7.62561267355214
150,3,0.05,0,3,0.8,0.6,7.29084372791924,5.77009051779042
200,3,0.05,0,3,0.8,0.6,6.48235615742512,5.06129190196162
250,3,0.05,0,3,0.8,0.6,5.82185605658439,4.64824145773183
50,6,0.05,0,3,0.8,0.6,9.6895103235733,7.71649402120839
150,6,0.05,0,3,0.8,0.6,7.28096243877315,5.83404740043308
200,6,0.05,0,3,0.8,0.6,6.42040291352111,5.19472105606742
250,6,0.05,0,3,0.8,0.6,5.40704990917851,4.23457037884256
50,9,0.05,0,3,0.8,0.6,9.6830698453983,7.70915686565897
150,9,0.05,0,3,0.8,0.6,7.29321302507085,5.83013418446416
200,9,0.05,0,3,0.8,0.6,6.21753175108582,4.87183811353601
250,9,0.05,0,3,0.8,0.6,5.47998931034258,4.37574370011039
50,3,0.1,0,3,0.8,0.6,8.41725544921298,6.75487850023353
150,3,0.1,0,3,0.8,0.6,4.67026267675411,3.60030895730723
200,3,0.1,0,3,0.8,0.6,4.23025107879151,3.5944475920304
250,3,0.1,0,3,0.8,0.6,3.32083881965842,2.82008162788723
50,6,0.1,0,3,0.8,0.6,8.26276912165333,6.56263766081437
150,6,0.1,0,3,0.8,0.6,4.97855918941797,3.95722430685292
200,6,0.1,0,3,0.8,0.6,3.47449366642019,2.87053182850713
250,6,0.1,0,3,0.8,0.6,3.58057201542156,3.12770611306895
50,9,0.1,0,3,0.8,0.6,8.2645661132699,6.4977503237517
150,9,0.1,0,3,0.8,0.6,4.65980603349934,3.62494029169497
200,9,0.1,0,3,0.8,0.6,3.88315066028277,3.28695346998132
250,9,0.1,0,3,0.8,0.6,3.33639618155921,2.86573094907014
50,3,0.01,0,5,0.8,0.6,11.0285781970083,8.99924933392069
150,3,0.01,0,5,0.8,0.6,10.3312584642886,8.30293008555537
200,3,0.01,0,5,0.8,0.6,9.9882854580132,7.96735680621603
250,3,0.01,0,5,0.8,0.6,9.66753867416859,7.66657190737517
50,6,0.01,0,5,0.8,0.6,11.0296724713368,8.99464184304942
150,6,0.01,0,5,0.8,0.6,10.3262149547621,8.30135909370754
200,6,0.01,0,5,0.8,0.6,9.99119203359203,7.97678109873896
250,6,0.01,0,5,0.8,0.6,9.66281285078421,7.65275308360224
50,9,0.01,0,5,0.8,0.6,11.0322035982948,9.00636391017748
150,9,0.01,0,5,0.8,0.6,10.3436518733142,8.31636279562245
200,9,0.01,0,5,0.8,0.6,9.98433477298052,7.96524678105893
250,9,0.01,0,5,0.8,0.6,9.68375850704164,7.68788843569548
50,3,0.05,0,5,0.8,0.6,9.64202889800135,7.64194189983866
150,3,0.05,0,5,0.8,0.6,7.28882743488481,5.79550668467646
200,3,0.05,0,5,0.8,0.6,6.33862810962023,4.98336161737857
250,3,0.05,0,5,0.8,0.6,5.60517156674298,4.32467319654382
50,6,0.05,0,5,0.8,0.6,9.68323802479015,7.66896222985309
150,6,0.05,0,5,0.8,0.6,7.34304342977327,5.88276440164317
200,6,0.05,0,5,0.8,0.6,6.45180639851027,5.18747810695482
250,6,0.05,0,5,0.8,0.6,5.562068400161,4.33818750796111
50,9,0.05,0,5,0.8,0.6,9.64281899466256,7.66645812988281
150,9,0.05,0,5,0.8,0.6,7.20785841747082,5.71855528458305
200,9,0.05,0,5,0.8,0.6,6.29378296431178,4.90598529318105
250,9,0.05,0,5,0.8,0.6,5.62965341495422,4.3857889590056
50,3,0.1,0,5,0.8,0.6,8.33241617134638,6.70689723802649
150,3,0.1,0,5,0.8,0.6,4.84606242746861,3.8745641293733
200,3,0.1,0,5,0.8,0.6,4.03019454632778,3.29298434050187
250,3,0.1,0,5,0.8,0.6,3.85226577883661,3.29659735638162
50,6,0.1,0,5,0.8,0.6,8.34551873978521,6.76429516336192
150,6,0.1,0,5,0.8,0.6,4.98895580261437,3.87058656112007
200,6,0.1,0,5,0.8,0.6,3.84968093037074,3.10051461924677
250,6,0.1,0,5,0.8,0.6,3.79834078549641,3.09603351095448
50,9,0.1,0,5,0.8,0.6,8.35082935717118,6.71938556173573
150,9,0.1,0,5,0.8,0.6,4.70529748666787,3.87702046269956
200,9,0.1,0,5,0.8,0.6,4.01433150069503,3.21212702212126
250,9,0.1,0,5,0.8,0.6,3.32789619693249,2.65006388788638
50,3,0.01,0,1,1,0.6,11.0511172232228,9.01157213293988
150,3,0.01,0,1,1,0.6,10.3823753985808,8.35903499437415
200,3,0.01,0,1,1,0.6,10.0598660705097,8.06397346828295
250,3,0.01,0,1,1,0.6,9.73518418227166,7.78805143936821
50,6,0.01,0,1,1,0.6,11.031260362097,9.0030749777089
150,6,0.01,0,1,1,0.6,10.3317006288757,8.32117594843325
200,6,0.01,0,1,1,0.6,10.0073674040217,8.00663690981658
250,6,0.01,0,1,1,0.6,9.64115660584989,7.68303713591202
50,9,0.01,0,1,1,0.6,11.0387685528693,9.01613351573115
150,9,0.01,0,1,1,0.6,10.3071720365122,8.30345817234205
200,9,0.01,0,1,1,0.6,10.0085701785475,8.00960242229959
250,9,0.01,0,1,1,0.6,9.63681709382802,7.66392019520635
50,3,0.05,0,1,1,0.6,9.74960205520163,7.78390204388162
150,3,0.05,0,1,1,0.6,7.29741246267703,5.7915506777556
200,3,0.05,0,1,1,0.6,6.35540242592959,5.02418484895126
250,3,0.05,0,1,1,0.6,5.33694850754508,4.16441643756369
50,6,0.05,0,1,1,0.6,9.74133639174817,7.78348474917204
150,6,0.05,0,1,1,0.6,7.12825293360041,5.74744415283203
200,6,0.05,0,1,1,0.6,5.96372041441945,4.77474643873132
250,6,0.05,0,1,1,0.6,4.93442333631759,3.97131546683933
50,9,0.05,0,1,1,0.6,9.67095455308517,7.69565084706182
150,9,0.05,0,1,1,0.6,7.0940313156548,5.63598599641219
200,9,0.05,0,1,1,0.6,5.76519287512006,4.56575974174168
250,9,0.05,0,1,1,0.6,5.17967232956842,4.13734270178753
50,3,0.1,0,1,1,0.6,8.39490980564815,6.71196979025136
150,3,0.1,0,1,1,0.6,4.8168545703803,3.84596982209579
200,3,0.1,0,1,1,0.6,3.90649894755542,3.26015969981318
250,3,0.1,0,1,1,0.6,3.18069892564619,2.70658509627632
50,6,0.1,0,1,1,0.6,8.29446601805487,6.69341609788978
150,6,0.1,0,1,1,0.6,4.54235210080917,3.67813939633577
200,6,0.1,0,1,1,0.6,3.51046866229565,3.14042298690132
250,6,0.1,0,1,1,0.6,3.23193782786759,2.71365489130435
50,9,0.1,0,1,1,0.6,8.2235129093606,6.51845849078634
150,9,0.1,0,1,1,0.6,4.52538003484607,3.61084481944209
200,9,0.1,0,1,1,0.6,3.72208707698959,3.30946449611498
250,9,0.1,0,1,1,0.6,3.67462349754892,3.22055849821671
50,3,0.01,0,3,1,0.6,11.0206708003424,8.97983351997707
150,3,0.01,0,3,1,0.6,10.3265300223189,8.28665758215863
200,3,0.01,0,3,1,0.6,9.96552200271524,7.94365360425866
250,3,0.01,0,3,1,0.6,9.62428021809915,7.64679917045262
50,6,0.01,0,3,1,0.6,11.026865089729,8.98482015858526
150,6,0.01,0,3,1,0.6,10.3225041296203,8.27843408999236
200,6,0.01,0,3,1,0.6,9.97844001962224,7.95710887079654
250,6,0.01,0,3,1,0.6,9.65052158908554,7.66313304071841
50,9,0.01,0,3,1,0.6,11.0296605277945,8.99735226838485
150,9,0.01,0,3,1,0.6,10.3377505344096,8.28850688105044
200,9,0.01,0,3,1,0.6,9.98895420155563,7.95860688582711
250,9,0.01,0,3,1,0.6,9.62847664408075,7.66595060929008
50,3,0.05,0,3,1,0.6,9.63063981282934,7.6724153601605
150,3,0.05,0,3,1,0.6,7.30298126287066,5.81834079908288
200,3,0.05,0,3,1,0.6,6.3035657676875,4.88847251560377
250,3,0.05,0,3,1,0.6,5.33381932642998,4.20037609597911
50,6,0.05,0,3,1,0.6,9.62744798459202,7.67174795399541
150,6,0.05,0,3,1,0.6,7.1274185790871,5.76377304740574
200,6,0.05,0,3,1,0.6,6.03376670164535,4.78585052490234
250,6,0.05,0,3,1,0.6,5.31074814245721,4.16667905061141
50,9,0.05,0,3,1,0.6,9.66780341932179,7.69432333241338
150,9,0.05,0,3,1,0.6,7.0684376120921,5.62866045081097
200,9,0.05,0,3,1,0.6,6.19745971969894,4.9210437277089
250,9,0.05,0,3,1,0.6,5.16470517043412,4.12333413828974
50,3,0.1,0,3,1,0.6,8.35409430716136,6.71363001284392
150,3,0.1,0,3,1,0.6,4.83808686958862,3.83679431417714
200,3,0.1,0,3,1,0.6,3.73689445327401,3.1471355272376
250,3,0.1,0,3,1,0.6,3.42441319501894,2.84858869469684
50,6,0.1,0,3,1,0.6,8.34305693577313,6.79277038574219
150,6,0.1,0,3,1,0.6,4.20351416833693,3.35979594355044
200,6,0.1,0,3,1,0.6,3.66635168444651,3.29133639128312
250,6,0.1,0,3,1,0.6,3.57873116866965,3.0684638645338
50,9,0.1,0,3,1,0.6,8.29695387157624,6.67615940259851
150,9,0.1,0,3,1,0.6,4.43541076129644,3.71119955311651
200,9,0.1,0,3,1,0.6,3.19977898785734,2.84088234279467
250,9,0.1,0,3,1,0.6,3.55153060822986,3.10240073826002
50,3,0.01,0,5,1,0.6,11.03506453736,9.00102532428244
150,3,0.01,0,5,1,0.6,10.3248887663039,8.28848067573879
200,3,0.01,0,5,1,0.6,9.97748572950186,7.95222141431726
250,3,0.01,0,5,1,0.6,9.66917044455075,7.68740579356318
50,6,0.01,0,5,1,0.6,11.0247282970783,8.98879474142323
150,6,0.01,0,5,1,0.6,10.3295695811905,8.29704384181811
200,6,0.01,0,5,1,0.6,9.98346691247401,7.95750161875849
250,6,0.01,0,5,1,0.6,9.66309581424427,7.69101416546366
50,9,0.01,0,5,1,0.6,11.0273929554789,8.99002605935802
150,9,0.01,0,5,1,0.6,10.3156012764722,8.2823774918266
200,9,0.01,0,5,1,0.6,9.97922464818802,7.95106539518937
250,9,0.01,0,5,1,0.6,9.67471795760942,7.70283607814623
50,3,0.05,0,5,1,0.6,9.66602187987333,7.6862965459409
150,3,0.05,0,5,1,0.6,7.21719903659488,5.70054858663808
200,3,0.05,0,5,1,0.6,6.3818245499365,5.00044913913893
250,3,0.05,0,5,1,0.6,5.56102473066524,4.35015935483186
50,6,0.05,0,5,1,0.6,9.6785663968744,7.71456676980724
150,6,0.05,0,5,1,0.6,7.37945802411295,5.92664834727412
200,6,0.05,0,5,1,0.6,6.30415100541979,5.00904647163723
250,6,0.05,0,5,1,0.6,5.50395444078922,4.38944443412449
50,9,0.05,0,5,1,0.6,9.68100051640125,7.68437990934952
150,9,0.05,0,5,1,0.6,7.32237651159337,5.82295625106148
200,9,0.05,0,5,1,0.6,6.3581731990936,5.02975364353346
250,9,0.05,0,5,1,0.6,5.43169927884586,4.19397038998811
50,3,0.1,0,5,1,0.6,8.44403462520462,6.8607061634893
150,3,0.1,0,5,1,0.6,4.43905998558782,3.58090674358865
200,3,0.1,0,5,1,0.6,3.96857333956506,3.3476214201554
250,3,0.1,0,5,1,0.6,3.410208023273,2.91381006655486
50,6,0.1,0,5,1,0.6,8.44304625741953,6.89014302129331
150,6,0.1,0,5,1,0.6,4.77254132159387,3.77292135487432
200,6,0.1,0,5,1,0.6,3.68878629864481,3.1038466743801
250,6,0.1,0,5,1,0.6,3.66953871290455,3.1757291710895
50,9,0.1,0,5,1,0.6,8.37586446857215,6.76013614820397
150,9,0.1,0,5,1,0.6,4.70691240629004,3.88240183954654
200,9,0.1,0,5,1,0.6,3.80489785222468,3.11105811077615
250,9,0.1,0,5,1,0.6,3.44442086415288,3.06786678148353
50,3,0.01,0,1,0.6,0.8,11.0617827534627,9.02680969238281
150,3,0.01,0,1,0.6,0.8,10.3932447401446,8.36240652333135
200,3,0.01,0,1,0.6,0.8,10.0847225355407,8.03284553859545
250,3,0.01,0,1,0.6,0.8,9.76071436128517,7.74309141739555
50,6,0.01,0,1,0.6,0.8,11.04557217732,9.00914499034052
150,6,0.01,0,1,0.6,0.8,10.3917517035845,8.34986943783967
200,6,0.01,0,1,0.6,0.8,10.081405227233,8.04940795898438
250,6,0.01,0,1,0.6,0.8,9.7917631546746,7.77893165920092
50,9,0.01,0,1,0.6,0.8,11.0491806087111,9.01415086829144
150,9,0.01,0,1,0.6,0.8,10.3843255568426,8.36455005148183
200,9,0.01,0,1,0.6,0.8,10.0896528339712,8.08020384415336
250,9,0.01,0,1,0.6,0.8,9.7828392357814,7.77337148915166
50,3,0.05,0,1,0.6,0.8,9.73948230513817,7.691534291143
150,3,0.05,0,1,0.6,0.8,7.40611498821017,5.8019266543181
200,3,0.05,0,1,0.6,0.8,6.48008157356975,5.06506878396739
250,3,0.05,0,1,0.6,0.8,5.77938269471197,4.46519072159477
50,6,0.05,0,1,0.6,0.8,9.78642291596495,7.81512053116508
150,6,0.05,0,1,0.6,0.8,7.3749815705769,5.80946316926376
200,6,0.05,0,1,0.6,0.8,6.59789470042768,5.21868564771569
250,6,0.05,0,1,0.6,0.8,5.83523761234624,4.43940801205842
50,9,0.05,0,1,0.6,0.8,9.7501226592266,7.75805763576342
150,9,0.05,0,1,0.6,0.8,7.46168431422339,5.917352427607
200,9,0.05,0,1,0.6,0.8,6.46639908356905,5.04718979545262
250,9,0.05,0,1,0.6,0.8,5.84454961938656,4.59742803158967
50,3,0.1,0,1,0.6,0.8,8.50199520498179,6.83517456054688
150,3,0.1,0,1,0.6,0.8,5.17008643543325,4.15343442170516
200,3,0.1,0,1,0.6,0.8,4.35221517080093,3.40639728048573
250,3,0.1,0,1,0.6,0.8,3.53426746960245,2.93026136315387
50,6,0.1,0,1,0.6,0.8,8.538681527972,6.88692341680112
150,6,0.1,0,1,0.6,0.8,5.2490142056533,4.11384283978006
200,6,0.1,0,1,0.6,0.8,4.16959402605939,3.45878468389096
250,6,0.1,0,1,0.6,0.8,3.7252981973092,3.24298261559528
50,9,0.1,0,1,0.6,0.8,8.46968825875843,6.698114146357
150,9,0.1,0,1,0.6,0.8,5.43021579499464,4.3138716324516
200,9,0.1,0,1,0.6,0.8,4.20753097377741,3.36357514754586
250,9,0.1,0,1,0.6,0.8,3.6634340745581,3.15743089758832
50,3,0.01,0,3,0.6,0.8,11.0445341190152,9.0072721398395
150,3,0.01,0,3,0.6,0.8,10.3700025526196,8.34884875753652
200,3,0.01,0,3,0.6,0.8,10.0354072585983,8.01363505487857
250,3,0.01,0,3,0.6,0.8,9.70652713388677,7.69279911207116
50,6,0.01,0,3,0.6,0.8,11.0394721370442,9.01285022238027
150,6,0.01,0,3,0.6,0.8,10.386137500334,8.35694752568784
200,6,0.01,0,3,0.6,0.8,10.0464775992692,8.04486083984375
250,6,0.01,0,3,0.6,0.8,9.74784659887008,7.71789683466372
50,9,0.01,0,3,0.6,0.8,11.0373955266691,9.01365694792374
150,9,0.01,0,3,0.6,0.8,10.3715227903219,8.34022488801376
200,9,0.01,0,3,0.6,0.8,10.0318703180738,8.02136628524117
250,9,0.01,0,3,0.6,0.8,9.70823877031063,7.67818152386209
50,3,0.05,0,3,0.6,0.8,9.66641492248827,7.67297429623811
150,3,0.05,0,3,0.6,0.8,7.36187119848817,5.85005420187245
200,3,0.05,0,3,0.6,0.8,6.33725561870228,4.85197846785836
250,3,0.05,0,3,0.6,0.8,5.71622246407265,4.42270560886549
50,6,0.05,0,3,0.6,0.8,9.6982446076918,7.7001429018767
150,6,0.05,0,3,0.6,0.8,7.39259252756943,5.89044587508492
200,6,0.05,0,3,0.6,0.8,6.30303010253927,4.84350088368291
250,6,0.05,0,3,0.6,0.8,5.88977597704829,4.57236348027768
50,9,0.05,0,3,0.6,0.8,9.71088856531671,7.72088722560717
150,9,0.05,0,3,0.6,0.8,7.3732425012489,5.82610055674677
200,9,0.05,0,3,0.6,0.8,6.48349959659856,5.01080521293308
250,9,0.05,0,3,0.6,0.8,5.69092423574097,4.36538663117782
50,3,0.1,0,3,0.6,0.8,8.38012576582682,6.63917939559273
150,3,0.1,0,3,0.6,0.8,5.10499505019541,3.95187112559443
200,3,0.1,0,3,0.6,0.8,4.27906806155463,3.35485043733016
250,3,0.1,0,3,0.6,0.8,3.61575665893344,3.00272303042204
50,6,0.1,0,3,0.6,0.8,8.54277187434563,6.89412025783373
150,6,0.1,0,3,0.6,0.8,4.95484828498304,3.82493923021399
200,6,0.1,0,3,0.6,0.8,4.32336904754626,3.40008942977242
