"ntree","mtry","nodesize","RMSE","MAE"
240,65,1,4.30777979542513,3.7327380952381
250,65,1,4.25671825303417,3.704
260,65,1,4.31503984832653,3.72912087912088
270,65,1,4.17817599137858,3.63333333333333
280,65,1,4.23683983307571,3.66607142857143
290,65,1,4.23138636168714,3.72955665024631
300,65,1,4.17507313879478,3.59214285714286
10,75,1,4.71774764661516,4.1
20,75,1,4.58649025477465,3.98214285714286
30,75,1,4.26130615641849,3.86666666666667
40,75,1,4.46330775002448,3.84464285714286
50,75,1,4.35758124258335,3.82857142857143
60,75,1,4.27248951627347,3.66904761904762
70,75,1,4.22655943584413,3.67040816326531
80,75,1,4.21379404668253,3.56517857142857
90,75,1,4.37103461009064,3.77777777777778
100,75,1,4.61423341412201,3.865
110,75,1,4.27247995968421,3.64675324675325
120,75,1,4.35025085939679,3.80833333333333
130,75,1,4.17051904187161,3.72197802197802
140,75,1,4.21717299917329,3.63877551020408
150,75,1,4.20336411000401,3.66809523809524
160,75,1,4.21997237581937,3.72633928571429
170,75,1,4.27310792163452,3.76050420168067
180,75,1,4.33668444904422,3.67738095238095
190,75,1,4.24243244880891,3.66127819548872
200,75,1,4.28089630968629,3.70535714285714
210,75,1,4.22475600835054,3.64047619047619
220,75,1,4.26518590483856,3.71201298701299
230,75,1,4.29943238376606,3.70093167701863
240,75,1,4.20725646287987,3.62797619047619
250,75,1,4.28580554188558,3.71114285714286
260,75,1,4.23095304296005,3.71263736263736
270,75,1,4.19425808712703,3.67936507936508
280,75,1,4.2842093446113,3.68469387755102
290,75,1,4.24980939629946,3.72364532019705
300,75,1,4.42958282101757,3.785
10,85,1,4.98268430237587,4.08571428571429
20,85,1,4.53893867393186,4.08928571428571
30,85,1,4.54470737004761,3.95952380952381
40,85,1,4.29349591159199,3.5
50,85,1,4.26807417260492,3.80857142857143
60,85,1,4.27017387475439,3.75119047619048
70,85,1,4.45874513324829,3.81020408163265
80,85,1,4.29886950463225,3.71875
90,85,1,4.30051881534411,3.74285714285714
100,85,1,4.13039430839927,3.62428571428571
110,85,1,4.2842839014024,3.72597402597402
120,85,1,4.20137803356856,3.61547619047619
130,85,1,4.33852047734885,3.79835164835165
140,85,1,4.25203389850698,3.64438775510204
150,85,1,4.26987714034617,3.74904761904762
160,85,1,4.24069688195736,3.72410714285714
170,85,1,4.34771603269339,3.72857142857143
180,85,1,4.29995103741453,3.76071428571429
190,85,1,4.32208187901339,3.81278195488722
200,85,1,4.20248990820578,3.66857142857143
210,85,1,4.2033558638667,3.71190476190476
220,85,1,4.18004620842934,3.67207792207792
230,85,1,4.25201021544701,3.62267080745342
240,85,1,4.37256777629957,3.8014880952381
250,85,1,4.31509046420648,3.75571428571428
260,85,1,4.37833244656908,3.78186813186813
270,85,1,4.24167314903831,3.71693121693122
280,85,1,4.30659136991255,3.67397959183673
290,85,1,4.24092091719729,3.75270935960591
300,85,1,4.28547398797231,3.70095238095238
10,95,1,3.75518688901479,3.4
20,95,1,4.600756925302,3.95357142857143
30,95,1,4.39602995497976,3.71904761904762
40,95,1,4.4597755789149,3.89464285714286
50,95,1,4.00506465080688,3.57857142857143
60,95,1,4.36347347805058,3.83452380952381
70,95,1,4.34904902309089,3.69183673469388
80,95,1,4.31229424975019,3.80089285714286
90,95,1,4.1527131438406,3.55238095238095
100,95,1,4.14935106802429,3.61857142857143
110,95,1,4.44864239137382,3.89155844155844
120,95,1,4.51653048468043,3.85952380952381
130,95,1,4.34750586769626,3.78846153846154
140,95,1,4.369475687569,3.82040816326531
150,95,1,4.3222194475039,3.78
160,95,1,4.17165779932185,3.64285714285714
170,95,1,4.37123936247077,3.82310924369748
180,95,1,4.16172908501651,3.64484126984127
190,95,1,4.18538523255804,3.58759398496241
200,95,1,4.32019902815335,3.73178571428572
210,95,1,4.13753881011983,3.58673469387755
220,95,1,4.2786705694403,3.72922077922078
230,95,1,4.29690852827368,3.75931677018633
240,95,1,4.24590065487074,3.69970238095238
250,95,1,4.35564408883134,3.83971428571428
260,95,1,4.21417324376762,3.63791208791209
270,95,1,4.29076694449574,3.68650793650794
280,95,1,4.2489352979518,3.68469387755102
290,95,1,4.2997623788244,3.76600985221675
300,95,1,4.32617311367955,3.7402380952381
10,105,1,4.21366823563508,3.85
20,105,1,4.72446142055216,3.93214285714286
30,105,1,4.31649659528915,3.86904761904762
40,105,1,4.24351921842506,3.63392857142857
50,105,1,4.39822366741068,3.89
60,105,1,4.42581487430138,3.87261904761905
70,105,1,4.24280904253639,3.70816326530612
80,105,1,4.20034543647475,3.54285714285714
90,105,1,4.13708973359834,3.60238095238095
100,105,1,4.2512435155577,3.67714285714286
110,105,1,4.23462563980891,3.74675324675325
120,105,1,4.25748815114533,3.70654761904762
130,105,1,4.11005303197086,3.65274725274725
140,105,1,4.22438516581461,3.73571428571428
150,105,1,4.26825305329758,3.67666666666667
160,105,1,4.30788216787802,3.73616071428571
170,105,1,4.33350475597915,3.78487394957983
180,105,1,4.23643961775931,3.74206349206349
190,105,1,4.16510700264595,3.67368421052632
200,105,1,4.34876521883758,3.79464285714286
210,105,1,4.13911689007904,3.58673469387755
220,105,1,4.27448085043459,3.68831168831169
230,105,1,4.21813674016575,3.68913043478261
240,105,1,4.19855166236024,3.66577380952381
250,105,1,4.34112756912632,3.702
260,105,1,4.28370862127508,3.71181318681319
270,105,1,4.21278661180995,3.71031746031746
280,105,1,4.25544658285514,3.66709183673469
290,105,1,4.21064004080768,3.68546798029557
300,105,1,4.10969073489818,3.53357142857143
10,115,1,4.4618221774133,3.89285714285714
20,115,1,4.27933155661355,3.73214285714286
30,115,1,4.24861321912389,3.73095238095238
40,115,1,4.65656218991773,4.08571428571428
50,115,1,4.29780010171317,3.64285714285714
60,115,1,4.14265701487067,3.61309523809524
70,115,1,4.51479911831271,3.86122448979592
80,115,1,4.35856991413796,3.79196428571429
90,115,1,4.04827896892362,3.62619047619048
100,115,1,4.20781670567664,3.66214285714286
110,115,1,4.22009654818857,3.70454545454545
120,115,1,4.35127524182954,3.72916666666666
130,115,1,4.34976996311727,3.7967032967033
140,115,1,4.29640800205434,3.74948979591837
150,115,1,4.25308926005183,3.77333333333333
160,115,1,4.18681364311129,3.62857142857143
170,115,1,4.2815422517343,3.73151260504202
180,115,1,4.19340967999408,3.66309523809524
190,115,1,4.266417810519,3.63345864661654
200,115,1,4.10258738045708,3.65035714285714
210,115,1,4.28372610723888,3.64115646258504
220,115,1,4.29166551086439,3.73668831168831
230,115,1,4.27699240777566,3.6611801242236
240,115,1,4.28889039882982,3.70357142857143
250,115,1,4.16919464645152,3.62485714285714
260,115,1,4.20421574740385,3.6771978021978
270,115,1,4.13176647683371,3.56216931216931
280,115,1,4.26141666722016,3.74132653061224
290,115,1,4.26160622099339,3.72758620689655
300,115,1,4.25774159526661,3.67142857142857
10,125,1,4.01710627904501,3.17142857142857
20,125,1,4.64171689294874,3.83928571428571
30,125,1,4.09605888784553,3.64047619047619
40,125,1,4.34191572268015,3.74642857142857
50,125,1,4.33323369848827,3.71714285714286
60,125,1,4.25677098354483,3.71309523809524
70,125,1,4.44919981668011,3.73979591836735
80,125,1,4.29548662634897,3.69821428571429
90,125,1,4.43281812656575,3.80793650793651
100,125,1,4.3422377377832,3.70142857142857
110,125,1,4.33170541274019,3.7987012987013
120,125,1,4.06917979528421,3.61309523809524
130,125,1,4.26462676211158,3.75274725274725
140,125,1,4.2415337556812,3.65357142857143
150,125,1,4.32708927424679,3.74190476190476
160,125,1,4.28461318630399,3.67991071428571
170,125,1,4.1285414103488,3.59831932773109
180,125,1,4.235280038175,3.70555555555555
190,125,1,4.25780946409403,3.71616541353383
200,125,1,4.2631330698711,3.73142857142857
210,125,1,4.40687943217987,3.84897959183674
220,125,1,4.39668155962174,3.84090909090909
230,125,1,4.27154196437811,3.6944099378882
240,125,1,4.14283901200192,3.60059523809524
250,125,1,4.294814281699,3.76085714285714
260,125,1,4.19662810446294,3.67994505494505
270,125,1,4.17922024236761,3.6537037037037
280,125,1,4.29137455722278,3.71811224489796
290,125,1,4.22099108682469,3.70443349753695
300,125,1,4.30614501853281,3.74119047619048
10,135,1,3.90613071246434,3.46428571428572
20,135,1,4.01672841288245,3.41785714285714
30,135,1,3.93057813106984,3.51190476190476
40,135,1,4.2548291891181,3.81785714285714
50,135,1,4.31119473000235,3.66
60,135,1,4.19893457764009,3.69642857142857
70,135,1,4.37523510405366,3.8265306122449
80,135,1,4.18010541135029,3.64821428571428
90,135,1,4.08129794860977,3.63571428571429
100,135,1,4.18443544579194,3.63285714285714
110,135,1,4.31108987006402,3.66038961038961
120,135,1,4.32838602659676,3.76130952380952
130,135,1,4.40524643028977,3.88131868131868
140,135,1,4.33145068245931,3.73163265306122
150,135,1,4.23874270067666,3.78666666666667
160,135,1,4.27533285045069,3.75982142857143
170,135,1,4.32049656388897,3.74579831932773
180,135,1,4.36008101270948,3.82261904761904
190,135,1,4.32037373436494,3.73421052631579
200,135,1,4.19769622190894,3.64071428571429
210,135,1,4.3226621615927,3.75272108843538
220,135,1,4.29146915368716,3.80941558441559
230,135,1,4.35777092466,3.78633540372671
240,135,1,4.26841322255614,3.71755952380953
250,135,1,4.22940063298403,3.718
260,135,1,4.16240786859981,3.62115384615385
270,135,1,4.26639361082458,3.71058201058201
280,135,1,4.36195932350838,3.75459183673469
290,135,1,4.21968942396482,3.66206896551724
