"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
200,3,0.1,0,3,0.6,0.6,3.88141552841026,3.27438681466239
250,3,0.1,0,3,0.6,0.6,3.69041374293804,3.02757590157645
50,6,0.1,0,3,0.6,0.6,5.82228034189435,4.57025800432478
150,6,0.1,0,3,0.6,0.6,4.08249184895937,3.36780112130301
200,6,0.1,0,3,0.6,0.6,3.8122268438511,3.24879564557757
250,6,0.1,0,3,0.6,0.6,3.99212375297124,3.31827763148717
50,9,0.1,0,3,0.6,0.6,5.82155338283806,4.56858553205218
150,9,0.1,0,3,0.6,0.6,3.91716460103465,3.29798071725028
200,9,0.1,0,3,0.6,0.6,4.18218671240244,3.5116446358817
250,9,0.1,0,3,0.6,0.6,4.05268851903971,3.44142259870257
50,3,0.01,0,5,0.6,0.6,7.65506365578451,5.93722752162388
150,3,0.01,0,5,0.6,0.6,7.19311868252835,5.544921875
200,3,0.01,0,5,0.6,0.6,6.96314902105417,5.39745439801897
250,3,0.01,0,5,0.6,0.6,6.73074205172976,5.20600945608957
50,6,0.01,0,5,0.6,0.6,7.65845577463493,5.93700572422573
150,6,0.01,0,5,0.6,0.6,7.16732801059228,5.53380584716797
200,6,0.01,0,5,0.6,0.6,6.97291849570218,5.37362834385463
250,6,0.01,0,5,0.6,0.6,6.79197184728749,5.27679661342076
50,9,0.01,0,5,0.6,0.6,7.64822619506459,5.93227931431362
150,9,0.01,0,5,0.6,0.6,7.16470557079796,5.54111426217215
200,9,0.01,0,5,0.6,0.6,6.94509255777816,5.3794185093471
250,9,0.01,0,5,0.6,0.6,6.75446022813042,5.22643225533622
50,3,0.05,0,5,0.6,0.6,6.75309504014609,5.28452519008091
150,3,0.05,0,5,0.6,0.6,5.31833556773297,4.26342391967773
200,3,0.05,0,5,0.6,0.6,4.72204902197643,3.91025488717215
250,3,0.05,0,5,0.6,0.6,4.17364794956434,3.62654222760882
50,6,0.05,0,5,0.6,0.6,6.79631387501568,5.31755065917969
150,6,0.05,0,5,0.6,0.6,5.18643226423787,4.18316268920898
200,6,0.05,0,5,0.6,0.6,4.57246389573064,3.83932985578264
250,6,0.05,0,5,0.6,0.6,4.35472823261433,3.72732870919364
50,9,0.05,0,5,0.6,0.6,6.82874992223752,5.27761077880859
150,9,0.05,0,5,0.6,0.6,5.30330685652201,4.35158920288086
200,9,0.05,0,5,0.6,0.6,4.58009054842211,3.77336011614118
250,9,0.05,0,5,0.6,0.6,4.36292709832431,3.75398635864258
50,3,0.1,0,5,0.6,0.6,5.94187331151599,4.7544550214495
150,3,0.1,0,5,0.6,0.6,4.44224648872829,3.69795281546456
200,3,0.1,0,5,0.6,0.6,4.05156113113956,3.32382365635463
250,3,0.1,0,5,0.6,0.6,4.09891392275454,3.36123493739537
50,6,0.1,0,5,0.6,0.6,5.77965818615735,4.54612731933594
150,6,0.1,0,5,0.6,0.6,4.13757779458913,3.60083607264927
200,6,0.1,0,5,0.6,0.6,3.53988471071696,3.07795715332031
